len_scale_space,len_scale_time,len_scale_space_bias,len_scale_time_bias,penalty,penalty_bias,time_metric,seed,stage,mse
2,1,2,1,0.3679,0.3679,1,1234,2,0
1,1,2,1,0.3679,0.3679,1,1234,2,0
0.5,1,2,1,0.3679,0.3679,1,1234,2,1.12566829131643
2,2,2,1,0.3679,0.3679,1,1234,2,0
1,2,2,1,0.3679,0.3679,1,1234,2,0
0.5,2,2,1,0.3679,0.3679,1,1234,2,1.14268597733514
2,1,1,1,0.3679,0.3679,1,1234,2,0
1,1,1,1,0.3679,0.3679,1,1234,2,0
0.5,1,1,1,0.3679,0.3679,1,1234,2,1.15589197670866
2,2,1,1,0.3679,0.3679,1,1234,2,0
1,2,1,1,0.3679,0.3679,1,1234,2,0
0.5,2,1,1,0.3679,0.3679,1,1234,2,1.17744845345776
2,1,0.5,1,0.3679,0.3679,1,1234,2,0
1,1,0.5,1,0.3679,0.3679,1,1234,2,0
0.5,1,0.5,1,0.3679,0.3679,1,1234,2,1.328525533767
2,2,0.5,1,0.3679,0.3679,1,1234,2,0
1,2,0.5,1,0.3679,0.3679,1,1234,2,0
0.5,2,0.5,1,0.3679,0.3679,1,1234,2,1.28194915930288
2,1,2,2,0.3679,0.3679,1,1234,2,0
1,1,2,2,0.3679,0.3679,1,1234,2,0
0.5,1,2,2,0.3679,0.3679,1,1234,2,1.13544460519012
2,2,2,2,0.3679,0.3679,1,1234,2,0
1,2,2,2,0.3679,0.3679,1,1234,2,0
0.5,2,2,2,0.3679,0.3679,1,1234,2,1.1586326058496
2,1,1,2,0.3679,0.3679,1,1234,2,0
1,1,1,2,0.3679,0.3679,1,1234,2,0
0.5,1,1,2,0.3679,0.3679,1,1234,2,1.17693646969602
2,2,1,2,0.3679,0.3679,1,1234,2,0
1,2,1,2,0.3679,0.3679,1,1234,2,0
0.5,2,1,2,0.3679,0.3679,1,1234,2,0
2,1,0.5,2,0.3679,0.3679,1,1234,2,0
1,1,0.5,2,0.3679,0.3679,1,1234,2,0
0.5,1,0.5,2,0.3679,0.3679,1,1234,2,0
2,2,0.5,2,0.3679,0.3679,1,1234,2,0
1,2,0.5,2,0.3679,0.3679,1,1234,2,0
0.5,2,0.5,2,0.3679,0.3679,1,1234,2,0
2,1,2,1,0.0498,0.0498,1,1234,2,0
1,1,2,1,0.0498,0.0498,1,1234,2,0
0.5,1,2,1,0.0498,0.0498,1,1234,2,0
2,2,2,1,0.0498,0.0498,1,1234,2,0
1,2,2,1,0.0498,0.0498,1,1234,2,0
0.5,2,2,1,0.0498,0.0498,1,1234,2,0
2,1,1,1,0.0498,0.0498,1,1234,2,0
1,1,1,1,0.0498,0.0498,1,1234,2,0
0.5,1,1,1,0.0498,0.0498,1,1234,2,0
2,2,1,1,0.0498,0.0498,1,1234,2,0
1,2,1,1,0.0498,0.0498,1,1234,2,0
0.5,2,1,1,0.0498,0.0498,1,1234,2,0
2,1,0.5,1,0.0498,0.0498,1,1234,2,0
1,1,0.5,1,0.0498,0.0498,1,1234,2,0
0.5,1,0.5,1,0.0498,0.0498,1,1234,2,0
2,2,0.5,1,0.0498,0.0498,1,1234,2,0
1,2,0.5,1,0.0498,0.0498,1,1234,2,0
0.5,2,0.5,1,0.0498,0.0498,1,1234,2,0
2,1,2,2,0.0498,0.0498,1,1234,2,0
1,1,2,2,0.0498,0.0498,1,1234,2,0
0.5,1,2,2,0.0498,0.0498,1,1234,2,0
2,2,2,2,0.0498,0.0498,1,1234,2,0
1,2,2,2,0.0498,0.0498,1,1234,2,0
0.5,2,2,2,0.0498,0.0498,1,1234,2,0
2,1,1,2,0.0498,0.0498,1,1234,2,0
1,1,1,2,0.0498,0.0498,1,1234,2,0
0.5,1,1,2,0.0498,0.0498,1,1234,2,0
2,2,1,2,0.0498,0.0498,1,1234,2,0
