len_scale_space,len_scale_time,len_scale_space_bias,len_scale_time_bias,penalty,time_metric,seed,mse,row_number
2,15,2,15,0.3679,2,1234,0,1
1,15,2,15,0.3679,2,1234,0,2
0.5,15,2,15,0.3679,2,1234,0,3
2,30,2,15,0.3679,2,1234,0,4
1,30,2,15,0.3679,2,1234,0,5
0.5,30,2,15,0.3679,2,1234,0,6
2,15,1,15,0.3679,2,1234,0,7
1,15,1,15,0.3679,2,1234,0,8
0.5,15,1,15,0.3679,2,1234,0,9
2,30,1,15,0.3679,2,1234,0,10
1,30,1,15,0.3679,2,1234,0,11
0.5,30,1,15,0.3679,2,1234,0,12
2,15,0.5,15,0.3679,2,1234,0,13
1,15,0.5,15,0.3679,2,1234,0,14
0.5,15,0.5,15,0.3679,2,1234,0,15
2,30,0.5,15,0.3679,2,1234,0,16
1,30,0.5,15,0.3679,2,1234,0,17
0.5,30,0.5,15,0.3679,2,1234,0,18
2,15,2,30,0.3679,2,1234,0,19
1,15,2,30,0.3679,2,1234,0,20
0.5,15,2,30,0.3679,2,1234,0,21
2,30,2,30,0.3679,2,1234,0,22
1,30,2,30,0.3679,2,1234,0,23
0.5,30,2,30,0.3679,2,1234,0,24
2,15,1,30,0.3679,2,1234,0,25
1,15,1,30,0.3679,2,1234,0,26
0.5,15,1,30,0.3679,2,1234,0,27
2,30,1,30,0.3679,2,1234,0,28
1,30,1,30,0.3679,2,1234,0,29
0.5,30,1,30,0.3679,2,1234,0,30
2,15,0.5,30,0.3679,2,1234,0,31
1,15,0.5,30,0.3679,2,1234,0,32
0.5,15,0.5,30,0.3679,2,1234,0,33
2,30,0.5,30,0.3679,2,1234,0,34
1,30,0.5,30,0.3679,2,1234,0,35
0.5,30,0.5,30,0.3679,2,1234,0,36
2,15,2,15,0.0498,2,1234,0,37
1,15,2,15,0.0498,2,1234,0,38
0.5,15,2,15,0.0498,2,1234,0,39
2,30,2,15,0.0498,2,1234,0,40
1,30,2,15,0.0498,2,1234,0,41
0.5,30,2,15,0.0498,2,1234,0,42
2,15,1,15,0.0498,2,1234,0,43
1,15,1,15,0.0498,2,1234,0,44
0.5,15,1,15,0.0498,2,1234,0,45
2,30,1,15,0.0498,2,1234,0,46
1,30,1,15,0.0498,2,1234,0,47
0.5,30,1,15,0.0498,2,1234,0,48
2,15,0.5,15,0.0498,2,1234,0,49
1,15,0.5,15,0.0498,2,1234,0,50
0.5,15,0.5,15,0.0498,2,1234,0,51
2,30,0.5,15,0.0498,2,1234,0,52
1,30,0.5,15,0.0498,2,1234,0,53
0.5,30,0.5,15,0.0498,2,1234,0,54
2,15,2,30,0.0498,2,1234,0,55
1,15,2,30,0.0498,2,1234,0,56
0.5,15,2,30,0.0498,2,1234,0,57
2,30,2,30,0.0498,2,1234,0,58
1,30,2,30,0.0498,2,1234,0,59
0.5,30,2,30,0.0498,2,1234,0,60
2,15,1,30,0.0498,2,1234,0,61
1,15,1,30,0.0498,2,1234,0,62
0.5,15,1,30,0.0498,2,1234,0,63
2,30,1,30,0.0498,2,1234,0,64
1,30,1,30,0.0498,2,1234,0,65
0.5,30,1,30,0.0498,2,1234,0,66
2,15,0.5,30,0.0498,2,1234,0,67
1,15,0.5,30,0.0498,2,1234,0,68
0.5,15,0.5,30,0.0498,2,1234,0,69
2,30,0.5,30,0.0498,2,1234,0,70
1,30,0.5,30,0.0498,2,1234,0,71
0.5,30,0.5,30,0.0498,2,1234,0,72
2,15,2,15,0.0183,2,1234,0,73
1,15,2,15,0.0183,2,1234,0,74
0.5,15,2,15,0.0183,2,1234,0,75
2,30,2,15,0.0183,2,1234,0,76
1,30,2,15,0.0183,2,1234,0,77
0.5,30,2,15,0.0183,2,1234,0,78
2,15,1,15,0.0183,2,1234,0,79
1,15,1,15,0.0183,2,1234,0,80
0.5,15,1,15,0.0183,2,1234,0,81
2,30,1,15,0.0183,2,1234,0,82
1,30,1,15,0.0183,2,1234,0,83
0.5,30,1,15,0.0183,2,1234,0,84
2,15,0.5,15,0.0183,2,1234,0,85
1,15,0.5,15,0.0183,2,1234,0,86
0.5,15,0.5,15,0.0183,2,1234,0,87
2,30,0.5,15,0.0183,2,1234,0,88
1,30,0.5,15,0.0183,2,1234,0,89
0.5,30,0.5,15,0.0183,2,1234,0,90
2,15,2,30,0.0183,2,1234,0,91
1,15,2,30,0.0183,2,1234,0,92
0.5,15,2,30,0.0183,2,1234,0,93
2,30,2,30,0.0183,2,1234,0,94
1,30,2,30,0.0183,2,1234,0,95
0.5,30,2,30,0.0183,2,1234,0,96
2,15,1,30,0.0183,2,1234,0,97
1,15,1,30,0.0183,2,1234,0,98
0.5,15,1,30,0.0183,2,1234,0,99
2,30,1,30,0.0183,2,1234,0,100
1,30,1,30,0.0183,2,1234,0,101
0.5,30,1,30,0.0183,2,1234,0,102
2,15,0.5,30,0.0183,2,1234,0,103
1,15,0.5,30,0.0183,2,1234,0,104
0.5,15,0.5,30,0.0183,2,1234,0,105
2,30,0.5,30,0.0183,2,1234,0,106
1,30,0.5,30,0.0183,2,1234,0,107
0.5,30,0.5,30,0.0183,2,1234,0,108
2,15,2,15,0.3679,1,1234,0,109
1,15,2,15,0.3679,1,1234,0,110
0.5,15,2,15,0.3679,1,1234,0,111
2,30,2,15,0.3679,1,1234,0,112
1,30,2,15,0.3679,1,1234,0,113
0.5,30,2,15,0.3679,1,1234,0,114
