Package,Version
r-base,4.1.1
r-abind,1.4_5
r-assertthat,0.2.1
r-backports,1.2.1
r-base64enc,0.1_3
r-bit,4.0.4
r-boot,1.3_28
r-brew,1.0_6
r-brio,1.1.2
r-clipr,0.7.1
r-cluster,2.1.2
r-codetools,0.2_18
r-colorspace,2.0_2
r-commonmark,1.7
r-corrplot,0.92
r-cpp11,0.4.0
r-crayon,1.4.1
r-curl,4.3.2
r-data.table,1.14.2
r-dbi,1.1.1
r-dichromat,2.0_0
r-digest,0.6.28
r-evaluate,0.14
r-fansi,0.4.2
r-farver,2.1.0
r-fastmap,1.1.0
r-fnn,1.1.3
r-foreign,0.8_81
r-formatr,1.11
r-fs,1.5.0
r-gap,1.2.3_1
r-generics,0.1.0
r-git2r,0.29.0
r-gitcreds,0.1.1
r-glue,1.4.2
r-gower,0.2.2
r-gtable,0.3.0
r-httpcode,0.3.0
r-ini,0.3.1
r-intervals,0.15.2
r-iterators,1.0.13
r-jsonlite,1.7.2
r-kernsmooth,2.23_20
r-labeling,0.4.2
r-lattice,0.20_45
r-lazyeval,0.2.2
r-leaflet.providers,1.9.0
r-listenv,0.8.0
r-magrittr,2.0.1
r-maps,3.4.0
r-mass,7.3_54
r-mime,0.12
r-ncdf4,1.17
r-nloptr,1.2.2.3
r-numderiv,2016.8_1.1
r-parallelly,1.28.1
r-pbdzmq,0.3_5
r-pkgconfig,2.0.3
r-png,0.1_7
r-praise,1.0.0
r-proj4,1.0_10.1
r-proxy,0.4_26
r-ps,1.6.0
r-r6,2.5.1
r-randomfieldsutils,1.1.0
r-randomforest,4.6_14
r-rapidjsonr,1.2.0
r-rappdirs,0.3.3
r-rcolorbrewer,1.1_2
r-rcpp,1.0.7
r-rematch,1.0.1
r-remotes,2.4.2
r-rlang,0.4.11
r-rpart,4.1_15
r-rstudioapi,0.13
r-sfsmisc,1.1_12
r-shape,1.4.6
r-snow,0.4_4
r-sourcetools,0.1.7
r-spatial,7.3_14
r-squarem,2021.1
r-statmod,1.4.36
r-stringi,1.7.5
r-sys,3.4
r-tictoc,1.0.1
r-timedate,3043.102
r-utf8,1.2.2
r-uuid,0.1_4
r-viridislite,0.4.0
r-whisker,0.4
r-withr,2.4.2
r-xfun,0.26
r-xml,3.99_0.8
r-xtable,1.8_4
r-yaml,2.2.1
r-zip,2.2.0
r-askpass,1.1
r-bit64,4.0.5
r-cachem,1.0.6
r-class,7.3_19
r-cli,3.0.1
r-colourvalues,0.3.7
r-diffobj,0.3.5
r-ellipsis,0.3.2
r-foreach,1.5.1
r-fst,0.9.4
r-geometries,0.2.0
r-globals,0.14.0
r-googlepolylines,0.8.2
r-gribr,1.2.3
r-gridextra,2.3
r-hexbin,1.28.2
r-highr,0.9
r-htmltools,0.5.2
r-jsonify,1.2.1
r-later,1.2.0
r-lifecycle,1.0.1
r-lobstr,1.1.1
r-lubridate,1.8.0
r-markdown,1.1
r-matrix,1.3_4
r-minqa,1.2.4
r-modelmetrics,1.2.2.2
r-munsell,0.5.0
r-nlme,3.1_153
r-nnet,7.3_16
r-plyr,1.8.6
r-prettyunits,1.1.1
r-processx,3.5.2
r-progressr,0.9.0
r-purrr,0.3.4
r-rex,1.2.1
r-rprojroot,2.0.2
r-sp,1.4_5
r-stringr,1.4.0
r-terra,1.4_11
r-tinytex,0.34
r-triebeard,0.3.0
r-tzdb,0.1.2
r-units,0.7_2
r-wk,0.6.0
r-xml2,1.3.2
r-zoo,1.8_9
r-ape,5.6_1
r-callr,3.7.0
r-crosstalk,1.2.0
r-desc,1.4.0
r-doparallel,1.0.16
r-dosnow,1.0.19
r-e1071,1.7_9
r-fontawesome,0.2.2
r-future,1.22.1
r-hdf5r,1.3.4
r-here,1.0.1
r-htmlwidgets,1.5.4
r-jquerylib,0.1.4
r-knitr,1.35
r-lmtest,0.9_39
r-memoise,2.0.1
r-mgcv,1.8_38
r-openssl,1.4.5
r-proc,1.18.0
r-promises,1.2.0.1
r-pryr,0.1.5
r-randomfields,3.3.13
r-raster,3.4_13
r-rcppeigen,0.3.3.9.1
r-reshape2,1.4.4
r-rgdal,1.5_23
r-rversions,2.1.1
r-s2,1.0.7
r-sass,0.4.0
r-scales,1.1.1
r-selectr,0.4_2
r-sessioninfo,1.2.2
r-sfheaders,0.4.0
r-splancs,2.01_42
r-survival,3.2_13
r-urltools,1.7.3
r-vctrs,0.3.8
r-xopen,1.0.0
r-xts,0.12.1
r-blob,1.2.2
r-bslib,0.3.1
r-classint,0.4_3
r-credentials,1.3.2
r-crul,1.1.0
r-dt,0.20
r-future.apply,1.8.1
r-geojsonsf,2.0.1
r-geor,1.8_1
r-glmnet,4.1_2
r-hms,1.1.1
r-httpuv,1.6.3
r-httr,1.4.2
r-ids,1.0.1
r-lme4,1.1_27.1
r-pillar,1.6.3
r-pkgbuild,1.3.1
r-pkgload,1.2.2
r-recommended,4.1
r-rmarkdown,2.11
r-scico,1.3.0
r-spacetime,1.2_5
r-tidyselect,1.1.1
r-tmb,1.7.22
r-ttr,0.24.2
r-widgetframe,0.3.1
r-covr,3.5.1
r-gargle,1.2.0
r-gert,1.5.0
r-gh,1.3.0
r-glmmtmb,1.1.2.3
r-gstat,2.0_8
r-lava,1.6.10
r-progress,1.2.2
r-quantmod,0.4.18
