var_name,mean_sd,min,q1,q2,q3,max
aqs,9.08( 2.17),0,7.81,9.1,10.36,22.3
Global LUR,6.77( 1.93),1.02,5.21,6.41,8.13,37.23
"NA LUR",6.57( 2.06),1.81,4.9,6.51,8.09,19.12
CMAQ-AQS Fusion,7.46( 1.95),2.64,5.85,7.2,9.05,17.05
Bayesian Hierarchical,7.26( 1.49),3.44,5.96,7.03,8.46,18.67
ML Ensemble,6.32( 2.85),0.15,3.79,6.19,8.66,24.37
Global Reanalysis,12.11( 4.3),3.57,8.49,11.91,15.4,33.24
CMAQ-AOD Fusion,6.09( 2.75),1.34,3.68,5.45,8.35,29.46
Weight of Global LUR,0.15( 0.08),0.02,0.1,0.14,0.2,0.61
Weight of NA LUR,0.2( 0.1),0.02,0.13,0.18,0.26,0.61
Weight of CMAQ-AQS Fusion,0.17( 0.04),0.06,0.14,0.17,0.2,0.52
Weight of Bayesian Hierarchical,0.12( 0.05),0.02,0.08,0.11,0.15,0.38
Weight of ML Ensemble,0.2( 0.11),0.01,0.12,0.18,0.27,0.77
Weight of Global Reanalysis,0.05( 0.03),0,0.02,0.04,0.06,0.3
Weight of CMAQ-AOD Fusion,0.1( 0.04),0.02,0.08,0.1,0.13,0.37
Model Combination,6.87( 2.05),2.33,5.11,6.66,8.52,17.36
Model Combination Uncertainty,0.84( 0.39),0.11,0.59,0.74,0.96,6.55
Residaul Process,-0.12( 0.35),-1.57,-0.31,-0.13,0.05,1.7
Residual Process Uncertainty,0.31( 0.01),0.27,0.3,0.31,0.32,0.37
BNE Predicted Concentration,6.75( 2.09),1.37,5,6.6,8.38,17.67
BNE Predictive Uncertainty,0.9( 0.38),0.33,0.67,0.81,1.01,6.57
BNE Scaled Uncertainty,0.15( 0.08),0.03,0.09,0.13,0.19,0.99
